Case_Number,Date,Buyout_Amount,Number_of_Tenants,Address,Buyout_Agreement_Source_Zipcode,Supervisor_District,Neighborhoods_Analysis_Boundaries,Location
B151563,06/29/2015,,,2500 Block Of Greenwich Street,94123,2,Marina,"37.7981639525773, -122.44162207101"
B151564,06/29/2015,,,2500 Block Of Greenwich Street,94123,2,Marina,"37.7981639525773, -122.44162207101"
B151565,06/29/2015,"$17,450.00",2,1300 Block Of Francisco Street,94123,2,Marina,"37.8029486097015, -122.427398615745"
B151561,06/26/2015,"$70,000.00",3,0 Block Of Cook Street,94118,2,Presidio Heights,"37.7827615280727, -122.452255448148"
B151559,06/25/2015,"$23,000.00",3,200 Block Of Gough Street,94102,5,Hayes Valley,"37.7752448322305, -122.422713877313"
B151560,06/25/2015,"$30,000.00",2,1500 Block Of Oak Street,94117,5,Haight Ashbury,"37.7721336075263, -122.444859556269"
B151550,06/24/2015,"$38,000.00",2,700 Block Of Green Street,94133,3,Chinatown,"37.7991716239887, -122.412123100282"
B151551,06/24/2015,,,400 Block Of Bright Street,94132,11,Oceanview/Merced/Ingleside,"37.7189095588003, -122.463620387974"
B151544,06/23/2015,"$40,000.00",1,1700 Block Of Sanchez Street,94131,8,Glen Park,"37.7410415332192, -122.428754803843"
B151545,06/23/2015,"$15,000.00",1,500 Block Of Page Street,94117,5,Hayes Valley,"37.7730893174064, -122.429798621341"
B151546,06/23/2015,,,600 Block Of Mansell Street,94134,9,Portola,"37.7200275319082, -122.407551043314"
B151547,06/23/2015,,,300 Block Of Pierce Street,94117,5,Haight Ashbury,"37.7730761857129, -122.43408393242"
B151548,06/23/2015,,,3700 Block Of San Bruno Avenue,94134,10,Visitacion Valley,"37.7148913827983, -122.399790666158"
B151542,06/22/2015,"$75,000.00",1,1400 Block Of Church Street,94131,8,Noe Valley,"37.7473004185578, -122.426937897423"
B151541,06/19/2015,,,1500 Block Of Quesada Avenue,94124,10,Bayview Hunters Point,"37.7318056241607, -122.388624875855"
B151540,06/18/2015,"$20,000.00",2,900 Block Of Judah Street,94122,7,Inner Sunset,"37.7618193074359, -122.472091115248"
B151516,06/17/2015,"$80,000.00",1,2900 Block Of Cesar Chavez Street,94110,9,Bernal Heights,"37.7482373936115, -122.409174716146"
B151517,06/17/2015,"$45,000.00",3,300 Block Of Russia Avenue,94112,11,Excelsior,"37.7202067900882, -122.434420669981"
B151504,06/16/2015,"$7,000.00",1,0 Block Of Pinehurst Way,94127,7,West of Twin Peaks,"37.7275685757583, -122.465395678755"
B151505,06/16/2015,,,0 Block Of Golden Gate Avenue,94102,6,Tenderloin,"37.7822500870637, -122.411268612991"
B151451,06/12/2015,,,1400 Block Of 31st Avenue,94122,4,Sunset/Parkside,"37.7601963961803, -122.489856805903"
B151452,06/12/2015,,,100 Block Of Downey Street,94117,5,Haight Ashbury,"37.7654182578924, -122.446783639096"
B151476,06/12/2015,,,1200 Block Of 34th Avenue,94122,4,Sunset/Parkside,"37.7637961720402, -122.493195708331"
B151477,06/12/2015,,,1200 Block Of 34th Avenue,94122,4,Sunset/Parkside,"37.7637961720402, -122.493195708331"
B151479,06/12/2015,"$53,703.46",2,100 Block Of Downey Street,94117,5,Haight Ashbury,"37.7654182578924, -122.446783639096"
B151449,06/10/2015,"$54,000.00",3,200 Block Of Guerrero Street,94103,8,Mission,"37.7671990410714, -122.424452084359"
B151450,06/10/2015,"$115,000.00",2,4000 Block Of Mission Street,94112,8,Outer Mission,"37.7322426252461, -122.427902108263"
B151441,06/09/2015,,,0 Block Of Montezuma Street,94110,9,Bernal Heights,"37.7460176323957, -122.41633389726"
B151442,06/09/2015,,,500 Block Of Larkin Street,94102,6,Tenderloin,"37.7828536845737, -122.417365508719"
B151443,06/09/2015,"$35,000.00",1,0 Block Of Doric Alley,94133,3,Chinatown,"37.7952883983463, -122.410975378937"
B151406,06/08/2015,"$20,000.00",4,200 Block Of Eureka Street,94114,8,Castro/Upper Market,"37.7582958475983, -122.437966749334"
B151402,06/05/2015,"$13,000.00",2,100 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7662576777448, -122.43336268257"
B151405,06/05/2015,,,1200 Block Of Masonic Avenue,94117,5,Haight Ashbury,"37.7697281472927, -122.445320474935"
B151396,06/04/2015,,,1200 Block Of Willard Street,94117,5,Inner Sunset,"37.7657079197204, -122.454430157524"
B151397,06/04/2015,"$49,276.00",2,1200 Block Of Willard Street,94117,5,Inner Sunset,"37.7657079197204, -122.454430157524"
B151398,06/04/2015,"$3,500.00",1,0 Block Of Red Rock Way,94131,8,Noe Valley,"37.7460366753524, -122.442196632259"
B151457,06/04/2015,"$25,000.00",1,300 Block Of Russia Avenue,94112,11,Excelsior,"37.7202067900882, -122.434420669981"
B151378,06/03/2015,"$70,000.00",2,2200 Block Of 15th Street,94114,8,Castro/Upper Market,"37.765739788651, -122.434358454096"
B151379,06/03/2015,"$70,000.00",1,2200 Block Of 15th Street,94114,8,Castro/Upper Market,"37.765739788651, -122.434358454096"
B151380,06/03/2015,"$70,000.00",1,2200 Block Of 15th Street,94114,8,Castro/Upper Market,"37.765739788651, -122.434358454096"
B151371,06/02/2015,,,1500 Block Of Vallejo Street,94109,3,Russian Hill,"37.7968496390145, -122.422792063766"
B151372,06/02/2015,"$112,794.00",2,100 Block Of Lower Terrace,94114,8,Castro/Upper Market,"37.7633286067509, -122.442889335285"
B151373,06/02/2015,"$25,600.00",1,100 Block Of Lower Terrace,94114,8,Castro/Upper Market,"37.7633286067509, -122.442889335285"
B151374,06/02/2015,"$14,000.00",2,1700 Block Of 11th Avenue,94122,7,Inner Sunset,"37.75555326498, -122.467936193092"
B151358,06/01/2015,"$60,000.00",2,1900 Block Of 42nd Avenue,94116,4,Sunset/Parkside,"37.7503586981534, -122.500853405229"
B151359,06/01/2015,"$44,500.00",5,700 Block Of Pine Street,94108,3,Nob Hill,"37.7910926843943, -122.408507461111"
B151360,06/01/2015,,,3200 Block Of 19th Street,94110,9,Mission,"37.7603453750433, -122.416472034969"
B151354,05/29/2015,,,2800 Block Of Cesar Chavez Street,94110,9,Mission,"37.7490475979939, -122.405997640308"
B151355,05/29/2015,"$18,000.00",4,0 Block Of De Long Street,94112,11,Outer Mission,"37.7097257876881, -122.458369928805"
B151357,05/29/2015,,,0 Block Of Caselli Avenue,94114,8,Castro/Upper Market,"37.7598044512351, -122.440170484932"
B151328,05/28/2015,,,300 Block Of 6th Avenue,94118,1,Inner Richmond,"37.7819761231538, -122.464421176035"
B151329,05/28/2015,,,1200 Block Of 19th Street,94107,10,Potrero Hill,"37.7614423682523, -122.394961069428"
B151330,05/28/2015,"$5,500.00",2,200 Block Of Laguna Street,94102,5,Hayes Valley,"37.7734246177866, -122.425721509672"
B151331,05/28/2015,"$45,000.00",1,0 Block Of Wilmot Street,94115,5,Pacific Heights,"37.7875362924379, -122.432720418419"
B151332,05/28/2015,"$29,500.00",2,400 Block Of Clipper Street,94114,8,Noe Valley,"37.7488837783712, -122.43496438899"
B151333,05/28/2015,"$34,800.00",1,1000 Block Of Pine Street,94109,3,Nob Hill,"37.790513715726, -122.413080090072"
B151325,05/27/2015,"$24,500.00",4,2400 Block Of Pacheco Street,94116,4,Sunset/Parkside,"37.7501158668303, -122.486393944392"
B151309,05/26/2015,,,400 Block Of Huron Avenue,94112,11,Outer Mission,"37.7148844945886, -122.445880711306"
B151295,05/21/2015,"$70,000.00",5,2700 Block Of 43rd Avenue,94116,4,Sunset/Parkside,"37.7357515950993, -122.501045149113"
B151296,05/21/2015,"$9,000.00",2,0 Block Of Mangels Avenue,94131,8,West of Twin Peaks,"37.7330288668699, -122.439285759409"
B151297,05/21/2015,"$16,000.00",2,600 Block Of Gates Street,94110,9,Bernal Heights,"37.7353499225534, -122.414330221442"
B151298,05/21/2015,"$69,000.00",4,600 Block Of Gates Street,94110,9,Bernal Heights,"37.7353499225534, -122.414330221442"
B151293,05/20/2015,,,700 Block Of Lake Street,94118,2,Inner Richmond,"37.786612094139, -122.467368173846"
B151294,05/20/2015,"$23,500.00",2,1400 Block Of Gough Street,94109,5,Japantown,"37.7866547416587, -122.42502102689"
B151254,05/19/2015,"$15,000.00",1,1000 Block Of Bush Street,94109,3,Nob Hill,"37.7894788171083, -122.414561132601"
B151255,05/19/2015,"$30,000.00",1,100 Block Of Harold Avenue,94112,11,Oceanview/Merced/Ingleside,"37.7209475455243, -122.453027122776"
B151251,05/18/2015,,,0 Block Of Pinehurst Way,94127,7,West of Twin Peaks,"37.7275685757583, -122.465395678755"
B151221,05/15/2015,"$57,500.00",1,2500 Block Of Union Street,94123,2,Marina,"37.7963010499379, -122.441245113872"
B151222,05/15/2015,"$75,000.00",2,2800 Block Of 25th Street,94110,9,Mission,"37.7513382912423, -122.407593099421"
B151223,05/15/2015,,,300 Block Of San Miguel Street,94112,11,Oceanview/Merced/Ingleside,"37.7192738925387, -122.448880383205"
B151224,05/15/2015,,,1500 Block Of Thomas Avenue,94124,10,Bayview Hunters Point,"37.729927376552, -122.390314136115"
B151225,05/15/2015,,,800 Block Of Silliman Street,94134,9,Portola,"37.7289916949564, -122.413456492982"
B151195,05/14/2015,,,2500 Block Of Pine Street,94115,2,Pacific Heights,"37.7874829517445, -122.43776937093"
B151196,05/14/2015,"$42,500.00",2,1300 Block Of 20th Avenue,94122,4,Sunset/Parkside,"37.7625809454941, -122.478195483323"
B151197,05/14/2015,"$8,200.00",1,800 Block Of Capp Street,94110,9,Mission,"37.7530999810627, -122.417500850902"
B151198,05/14/2015,"$40,000.00",4,2700 Block Of Harrison Street,94110,9,Mission,"37.7534254582538, -122.412042539296"
B151199,05/14/2015,"$30,000.00",4,2700 Block Of Harrison Street,94110,9,Mission,"37.7534254582538, -122.412042539296"
B151200,05/14/2015,"$30,000.00",4,2700 Block Of Harrison Street,94110,9,Mission,"37.7534254582538, -122.412042539296"
B151191,05/13/2015,,,1200 Block Of Pacific Avenue,94109,3,Nob Hill,"37.7958279358577, -122.415839946854"
B151192,05/13/2015,,,3500 Block Of Pierce Street,94123,2,Marina,"37.8033346411706, -122.440137829654"
B151193,05/13/2015,"$80,000.00",1,1100 Block Of Dolores Street,94110,8,Noe Valley,"37.7506237617888, -122.425184893247"
B151194,05/13/2015,,,600 Block Of 4th Avenue,94118,1,Inner Richmond,"37.7764027457591, -122.461731745079"
B151169,05/12/2015,,,1100 Block Of California Street,94108,3,Nob Hill,"37.7914675528315, -122.413273080076"
B151170,05/11/2015,,,1200 Block Of Masonic Avenue,94117,5,Haight Ashbury,"37.7697281472927, -122.445320474935"
B151171,05/11/2015,,,1400 Block Of Mariposa Street,94107,10,Potrero Hill,"37.7637100416906, -122.398091339692"
B151137,05/08/2015,,,3500 Block Of 18th Street,94110,8,Mission,"37.761646165116, -122.423383291369"
B151139,05/08/2015,"$35,307.00",2,500 Block Of 42nd Avenue,94121,1,Outer Richmond,"37.7782935629962, -122.502945689316"
B151140,05/08/2015,,,2400 Block Of San Bruno Avenue,94134,9,Portola,"37.7318198892347, -122.40541209222"
B151124,05/07/2015,,,2700 Block Of Bryant Street,94110,9,Mission,"37.7504048656847, -122.408832584317"
B151125,05/07/2015,"$61,500.00",1,2700 Block Of Bryant Street,94110,9,Mission,"37.7504048656847, -122.408832584317"
B151126,05/07/2015,,1,1600 Block Of Ulloa Street,94116,7,West of Twin Peaks,"37.7412038342349, -122.473954646438"
B151127,05/07/2015,,,1300 Block Of Stevenson Street,94103,6,Mission,"37.7707839540722, -122.421596103325"
B151128,05/07/2015,,,3700 Block Of 16th Street,94114,8,Castro/Upper Market,"37.7640554925055, -122.43593703419"
B151129,05/07/2015,"$27,422.00",2,400 Block Of Vallejo Street,94133,3,North Beach,"37.799081056607, -122.40433193337"
B151130,05/07/2015,"$53,000.00",2,100 Block Of 26th Avenue,94121,2,Seacliff,"37.7866330012114, -122.486212276152"
B151131,05/07/2015,"$4,000.00",1,400 Block Of 9th Avenue,94118,1,Inner Richmond,"37.7799097469663, -122.467489929352"
B151138,05/07/2015,,,1200 Block Of Florida Street,94110,9,Mission,"37.751946184507, -122.409921423273"
B151115,05/06/2015,,,600 Block Of San Jose Avenue,94110,8,Bernal Heights,"37.7447305520446, -122.422242631951"
B151113,05/05/2015,"$15,000.00",1,0 Block Of States Street,94114,8,Castro/Upper Market,"37.7634100550694, -122.43906507197"
B151114,05/05/2015,,,300 Block Of 28th Street,94131,8,Noe Valley,"37.7451534728186, -122.43015175829"
B151070,05/01/2015,"$23,500.00",2,800 Block Of 30th Avenue,94121,1,Outer Richmond,"37.7732620072865, -122.489540584596"
B151071,05/01/2015,,,900 Block Of Oak Street,94117,5,Haight Ashbury,"37.7733932785205, -122.434919576262"
B151072,05/01/2015,"$47,500.00",2,500 Block Of Diamond Street,94114,8,Noe Valley,"37.7539452557019, -122.436632174786"
B151073,05/01/2015,,,0 Block Of Ankeny Street,94134,10,Portola,"37.7186905911201, -122.403692345246"
B151057,04/30/2015,"$10,000.00",2,1900 Block Of Sacramento Street,94109,2,Pacific Heights,"37.7910321143423, -122.424992665272"
B151058,04/30/2015,"$45,000.00",1,100 Block Of 4th Avenue,94118,2,Inner Richmond,"37.7860201337018, -122.462424895675"
B151069,04/30/2015,,,1400 Block Of Leavenworth Street,94109,3,Russian Hill,"37.7943258846981, -122.41645054826"
B151043,04/29/2015,"$19,153.00",4,200 Block Of Richland Avenue,94110,9,Bernal Heights,"37.7357976290988, -122.421662064611"
B151044,04/29/2015,"$22,212.80",2,200 Block Of Chestnut Street,94133,3,North Beach,"37.8044102455856, -122.407535183782"
B151045,04/29/2015,,,1200 Block Of Masonic Avenue,94117,5,Haight Ashbury,"37.7697281472927, -122.445320474935"
B151046,04/29/2015,,,300 Block Of Winding Way,94112,11,Excelsior,"37.7093340298135, -122.437772842635"
B150999,04/27/2015,,,300 Block Of 15th Avenue,94118,1,Outer Richmond,"37.7811989128489, -122.473954462884"
B151008,04/27/2015,,,1100 Block Of Diamond Street,94114,8,Noe Valley,"37.7483667294709, -122.435959516836"
B151009,04/27/2015,,,1100 Block Of Diamond Street,94114,8,Noe Valley,"37.7483667294709, -122.435959516836"
B150997,04/24/2015,,,3200 Block Of Mission Street,94110,9,Bernal Heights,"37.7447384332714, -122.42051792069"
B150998,04/24/2015,"$30,000.00",3,900 Block Of Somerset Street,94134,10,Portola,"37.719940199255, -122.404844605055"
B150995,04/23/2015,,,0 Block Of Dawson Place,94108,3,Nob Hill,"37.7934659400617, -122.410930772813"
B150996,04/23/2015,"$50,400.00",1,500 Block Of Clayton Street,94117,5,Haight Ashbury,"37.7702730916377, -122.448605047541"
B150993,04/22/2015,"$20,000.00",2,900 Block Of Steiner Street,94117,5,Western Addition,"37.7779651304182, -122.433244710329"
B150994,04/22/2015,,,900 Block Of Steiner Street,94117,5,Western Addition,"37.7779651304182, -122.433244710329"
B150992,04/21/2015,"$6,500.00",1,1600 Block Of 42nd Avenue,94122,4,Sunset/Parkside,"37.7559394119816, -122.501380811213"
B150987,04/20/2015,,,1900 Block Of Mission Street,94103,9,Mission,"37.7658582822922, -122.419816092779"
B150988,04/20/2015,,,800 Block Of Guerrero Street,94110,8,Mission,"37.7571585282999, -122.42348308604"
B150989,04/20/2015,,,800 Block Of Guerrero Street,94110,8,Mission,"37.7571585282999, -122.42348308604"
B150990,04/20/2015,,,800 Block Of Guerrero Street,94110,8,Mission,"37.7571585282999, -122.42348308604"
B150991,04/20/2015,"$80,000.00",2,2400 Block Of Franklin Street,94123,2,Marina,"37.796936145829, -122.42541172011"
B150888,04/17/2015,,,1900 Block Of Mission Street,94103,9,Mission,"37.7658582822922, -122.419816092779"
B150889,04/17/2015,,,700 Block Of Edinburgh Street,94112,11,Excelsior,"37.7173763925984, -122.435002134703"
B150842,04/15/2015,,,0 Block Of Norton Street,94112,11,Outer Mission,"37.7249572697515, -122.435780282602"
B150843,04/15/2015,"$15,000.00",2,100 Block Of Noe Street,94114,8,Castro/Upper Market,"37.7662576777448, -122.43336268257"
B150817,04/13/2015,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B150818,04/13/2015,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B150819,04/13/2015,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B150820,04/13/2015,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B150821,04/13/2015,,,600 Block Of De Haro Street,94107,10,Potrero Hill,"37.7616466360645, -122.401331077672"
B150807,04/10/2015,"$74,101.79",1,500 Block Of Chenery Street,94131,8,Glen Park,"37.7350939561484, -122.431073052252"
B150770,04/09/2015,"$10,000.00",3,1100 Block Of Dolores Street,94110,8,Mission,"37.7506415315552, -122.424889976637"
B150771,04/09/2015,,,600 Block Of Page Street,94117,5,Hayes Valley,"37.7728800410323, -122.431443648398"
B150772,04/09/2015,"$3,000.00",2,0 Block Of Terra Vista Avenue,94115,2,Lone Mountain/USF,"37.7815553117685, -122.442558983109"
B150773,04/09/2015,"$5,551.00",1,400 Block Of Wilde Avenue,94134,10,Visitacion Valley,"37.7176025147377, -122.406268256875"
B150769,04/08/2015,"$30,000.00",3,100 Block Of Bernard Street,94109,3,Nob Hill,"37.7961589594177, -122.415907056002"
B150758,04/07/2015,,,600 Block Of 15th Avenue,94118,1,Outer Richmond,"37.7758570937123, -122.473699636544"
B150717,04/03/2015,,,1300 Block Of 17th Avenue,94122,5,Inner Sunset,"37.7627280154311, -122.474850980719"
B150708,04/02/2015,"$134,500.00",4,2500 Block Of Gough Street,94123,2,Marina,"37.7967275150293, -122.427054808103"
B150709,04/02/2015,"$89,500.00",1,2500 Block Of Gough Street,94123,2,Marina,"37.7967275150293, -122.427054808103"
B150710,04/02/2015,"$94,500.00",2,2500 Block Of Gough Street,94123,2,Marina,"37.7967275150293, -122.427054808103"
B150702,04/01/2015,"$34,500.00",4,0 Block Of Lippard Avenue,94131,8,Glen Park,"37.734322866472, -122.435628142523"
B150692,03/31/2015,"$310,000.00",3,1000 Block Of South Van Ness Avenue,94110,9,Mission,"37.7563632998017, -122.416712100627"
B150693,03/31/2015,"$20,000.00",2,200 Block Of Chestnut Street,94133,3,North Beach,"37.8044102455856, -122.407535183782"
B150695,03/31/2015,"$25,000.00",1,400 Block Of 27th Street,94131,8,Noe Valley,"37.7467511522833, -122.430307966306"
B150676,03/30/2015,,,0 Block Of Montcalm Street,94110,9,Bernal Heights,"37.7468360977993, -122.406348831491"
B150677,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150678,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150679,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150680,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150681,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150682,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150683,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150684,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150685,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150686,03/30/2015,,,1000 Block Of Market Street,94103,6,South of Market,"37.7812876875414, -122.411318055944"
B150645,03/27/2015,,,100 Block Of 15th Avenue,94118,1,Outer Richmond,"37.7853074356512, -122.474245097359"
B150646,03/27/2015,,,600 Block Of 10th Avenue,94118,1,Inner Richmond,"37.7761033799351, -122.468294601368"
B151478,03/27/2015,"$32,500.00",2,800 Block Of Fillmore Street,94117,5,Hayes Valley,"37.7772210925843, -122.431547858725"
B150608,03/24/2015,"$25,000.00",3,2900 Block Of Pacheco Street,94116,4,Sunset/Parkside,"37.7497693942997, -122.49174457936"
B150605,03/23/2015,,,3200 Block Of Folsom Street,94110,9,Bernal Heights,"37.7459615832326, -122.41338522739"
B150606,03/23/2015,"$21,000.00",7,200 Block Of Munich Street,94112,11,Excelsior,"37.721623443423, -122.426180850933"
B150607,03/23/2015,"$50,000.00",2,1200 Block Of 21st Avenue,94122,4,Sunset/Parkside,"37.7644122531732, -122.479263390059"
B150598,03/18/2015,,,3900 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7737321673445, -122.50092850809"
B150599,03/18/2015,,,3900 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7737321673445, -122.50092850809"
B150600,03/18/2015,,,3900 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7737321673445, -122.50092850809"
B150601,03/18/2015,"$30,000.00",1,3900 Block Of Cabrillo Street,94121,1,Outer Richmond,"37.7737321673445, -122.50092850809"
B150602,03/18/2015,"$26,300.00",4,1700 Block Of Haight Street,94117,5,Haight Ashbury,"37.7693981234793, -122.451276976891"
B150597,03/17/2015,"$54,000.00",2,100 Block Of Valley Street,94131,8,Noe Valley,"37.7446214766453, -122.425607962387"
B150590,03/16/2015,"$6,000.00",2,600 Block Of Broderick Street,94117,5,Hayes Valley,"37.776170112288, -122.439818697118"
B150588,03/12/2015,"$32,000.00",4,1300 Block Of Shotwell Street,94110,9,Bernal Heights,"37.747783872153, -122.414945488648"
B150587,03/09/2015,,,1200 Block Of 48th Avenue,94122,4,Sunset/Parkside,"37.7631301013509, -122.508334049767"
